Imp_P,P,Imp_As,As
1.34464876776955E+015,1.0005947415,3.11112327001588E+015,0.99982924
1.79407195485061E+015,0.9997198827,4.15095684509277E+015,0.999100191
2.39370626466309E+015,0.9997198827,5.53833494670067E+015,0.9981888798
3.19375689809745E+015,0.9996834302,7.38941769970638E+015,0.9972046636
4.26120918624104E+015,0.9989908337,9.85918953371765E+015,0.9957830181
5.68543702863604E+015,0.99804307,1.31544354659543E+016,0.9942155627
7.58568584498428E+015,0.9970953063,1.75510544590075E+016,0.9918826059
1.01210565606422E+016,0.9956007558,2.34171594379934E+016,0.9879163769
1.35038265487162E+016,0.9939603956,3.05497001767846E+016,0.9831790607
1.80172228428136E+016,0.9923929402,4.16865746586887E+016,0.9785021267
2.40391357069428E+016,0.9904245079,5.56195166214267E+016,0.9722809086
3.20737580135612E+016,0.9885873045,6.68220298648521E+016,0.9647376816
4.27937994798779E+016,0.9848545736,8.68492409161565E+016,0.958151939
5.70968102069516E+016,0.9795130746,1.07113230382158E+017,0.9494259168
7.61803292867594E+016,0.9725628075,1.28687265087809E+017,0.940604424
1.00318614735087E+017,0.9642735204,1.52593384953085E+017,0.931085995
1.2701156082632E+017,0.9557627847,1.76258961330583E+017,0.92201055
1.54606598425758E+017,0.9470200551,2.00943696877559E+017,0.9136702295
1.85746431556171E+017,0.9375684556,2.29085483143684E+017,0.9032448288
2.1738436090822E+017,0.9284261812,2.61168473570746E+017,0.8935411867
2.4782863120551E+017,0.9201660561,2.9386753769407E+017,0.8842385215
2.82536564215529E+017,0.9111841724,3.40557299302404E+017,0.8757177613
3.22105277870494E+017,0.9015607257,3.61755810942692E+017,0.8670824363
3.6243380983894E+017,0.8906541527,3.7917140505855E+017,0.8552196712
3.98999517642951E+017,0.8822336367,4.14276548518019E+017,0.8451111908
4.46998220848468E+017,0.871758114,4.55541588489092E+017,0.8354307162
5.07932376519929E+017,0.8608816142,4.58870808826805E+017,0.8667960242
5.68414254472226E+017,0.8503559693,5.13323769680952E+017,0.8262701256
6.36793151918939E+017,0.8383667586,5.60662590802533E+017,0.8168400247
7.16521534993674E+017,0.8277007717,6.02008655103099E+017,0.8092621968
8.0388726975852E+017,0.8173644771,5.83511737928766E+017,0.8436061907
9.19143440709859E+017,0.8056470396,6.671718867442E+017,0.7987239993
1.00935213869677E+018,0.7964245698,7.45257236980988E+017,0.7894343243
1.15023129752047E+018,0.786712017,8.27646241465895E+017,0.7808365909
1.35176153204909E+018,0.7769485465,9.41310626818335E+017,0.7709900754
1.7243068879357E+018,0.7670438952,1.01275978178423E+018,0.7606173282
2.30062355564613E+018,0.7657862856,1.08378681494071E+018,0.753266357
2.9127773489302E+018,0.7743135552,1.1832861666199E+018,0.7438686426
3.45388143096094E+018,0.7840611138,1.30750513239117E+018,0.733667222
3.97793758339444E+018,0.7958008278,1.4352320007032E+018,0.7250487635
4.37289602347313E+018,0.8056518131,1.59389847165467E+018,0.715943484
4.73954060322147E+018,0.8150222625,1.7934592670988E+018,0.7068864171
5.24382774046303E+018,0.8255927786,2.08978638671988E+018,0.6970981243
5.68349541329458E+018,0.8352246586,2.44039987328289E+018,0.6878711992
6.06844058989224E+018,0.8434992635,3.02959268212879E+018,0.6773845382
6.69529150779885E+018,0.8527506928,3.68781405528903E+018,0.6691407567
7.23630403068376E+018,0.862057495,4.50869883230056E+018,0.6594575271
7.68314149013502E+018,0.8720087246,6.06844058989224E+018,0.6563378049
8.83602409029453E+018,0.8814673252,7.97964012924549E+018,0.6587176291
9.55896342948604E+018,0.8913521496,8.66129603541617E+018,0.6694867243
1.05463744309202E+019,0.8998075653,9.23062876659206E+018,0.6813945246
1.14765496615969E+019,0.9102403344,1.00515110161785E+019,0.6916892317
1.24549335261123E+019,0.9205842177,1.07222603816604E+019,0.7020583274
1.39184408069953E+019,0.931441146,1.15850558771519E+019,0.7133173944
1.4913175509782E+019,0.940713897,1.226209975151E+019,0.725692236
1.6432108097657E+019,0.950176953,1.32240182454447E+019,0.7394858431
1.8733393886521E+019,0.9589806247,1.34992149002777E+019,0.7519161285
2.11095904561461E+019,0.9680872567,1.4102071260962E+019,0.7608044508
2.56585494017753E+019,0.978410822,1.47963548495585E+019,0.7724996118
3.2485819472933E+019,0.9869250728,1.51893564690653E+019,0.7824705719
4.33435846175686E+019,0.9933407039,1.60069521598501E+019,0.7931499247
5.72021333790238E+019,0.9952741303,1.65763215250646E+019,0.8040431318
7.71590414678532E+019,0.9978608077,1.73165972330932E+019,0.814388337
1.02947978445145E+020,0.999501168,1.77765382676349E+019,0.8240919792
1.37356375407508E+020,1.0003395743,1.88428410154633E+019,0.8373539205
1.83265122346637E+020,1.0009228135,2.00022133529804E+019,0.8505119048
2.44517991750182E+020,1.0012144331,2.03421452080876E+019,0.8605808815
3.26243463698749E+020,1.0013237905,2.18422767623993E+019,0.8737902079
4.34248024574338E+020,1.0009228135,2.31043393590945E+019,0.8862601136
,,2.3821857947285E+019,0.8969194175
,,2.51041142722226E+019,0.9070273781
,,2.66875714102243E+019,0.9167844838
,,2.81240801541565E+019,0.9257173592
,,2.95087056417226E+019,0.9345611285
,,3.20628046074637E+019,0.9462897043
,,3.55407726650356E+019,0.957330891
,,3.84486215393997E+019,0.9663242311
,,4.39154304320698E+019,0.9766637081
,,4.93328797106476E+019,0.9916836363
,,5.73272284723339E+019,0.9878242332
,,6.42235591779282E+019,0.9955266937
,,8.56890580823826E+019,0.9985169518
,,1.14328990311851E+020,0.9997927876
,,1.52541273276228E+020,1.0006676464
,,2.03525282513764E+020,1.000959266
,,2.71549723774089E+020,1.0013237905
,,3.62310036232462E+020,1.0013237905
,,4.35284114859322E+020,1.0013237905
